,0
0,50_50
1,bad_behaviour_card
2,ball_receipt_outcome
3,ball_recovery_offensive
4,ball_recovery_recovery_failure
5,block_deflection
6,block_offensive
7,block_save_block
8,carry_end_location
9,clearance_aerial_won
10,clearance_body_part
11,clearance_head
12,clearance_left_foot
13,clearance_other
14,clearance_right_foot
15,counterpress
16,dribble_no_touch
17,dribble_nutmeg
18,dribble_outcome
19,dribble_overrun
20,duel_outcome
21,duel_type
22,duration
23,foul_committed_advantage
24,foul_committed_card
25,foul_committed_offensive
26,foul_committed_penalty
27,foul_committed_type
28,foul_won_advantage
29,foul_won_defensive
30,foul_won_penalty
31,goalkeeper_body_part
32,goalkeeper_end_location
33,goalkeeper_outcome
34,goalkeeper_position
35,goalkeeper_punched_out
36,goalkeeper_shot_saved_off_target
37,goalkeeper_shot_saved_to_post
38,goalkeeper_success_in_play
39,goalkeeper_success_out
40,goalkeeper_technique
41,goalkeeper_type
42,id
43,index
44,injury_stoppage_in_chain
45,interception_outcome
46,location
47,match_id
48,minute
49,miscontrol_aerial_won
50,off_camera
51,out
52,pass_aerial_won
53,pass_angle
54,pass_assisted_shot_id
55,pass_body_part
56,pass_cross
57,pass_cut_back
58,pass_deflected
59,pass_end_location
60,pass_goal_assist
61,pass_height
62,pass_inswinging
63,pass_length
64,pass_miscommunication
65,pass_no_touch
66,pass_outcome
67,pass_outswinging
68,pass_recipient
69,pass_recipient_id
70,pass_shot_assist
71,pass_straight
72,pass_switch
73,pass_technique
74,pass_through_ball
75,pass_type
76,period
77,play_pattern
78,player
79,player_id
80,position
81,possession
82,possession_team
83,possession_team_id
84,related_events
85,second
86,shot_aerial_won
87,shot_body_part
88,shot_deflected
89,shot_end_location
90,shot_first_time
91,shot_freeze_frame
92,shot_key_pass_id
93,shot_one_on_one
94,shot_open_goal
95,shot_outcome
96,shot_saved_off_target
97,shot_saved_to_post
98,shot_statsbomb_xg
99,shot_technique
100,shot_type
101,substitution_outcome
102,substitution_outcome_id
103,substitution_replacement
104,substitution_replacement_id
105,tactics
106,team
107,team_id
108,timestamp
109,type
110,under_pressure
